DATE,PRCP_happycamp,TMAX_happycamp,TMIN_happycamp,TOBS_happycamp,PRCP_orleans,PRCP_salmonriver,PRCP_cavejunction,discharge_IndianCreek,gage_ht_IndianCreek,discharge_IndianCreek_daily_change,discharge_SalmonRiver,gage_ht_SalmonRiver,discharge_SalmonRiver_daily_change,discharge_SuckerCreek,gage_ht_SuckerCreek,discharge_SuckerCreek_daily_change,year,month,day
2015-01-01,,,,,,0.0,,310.65625,4.981979166666666,,,,,167.92708333333334,1.7870833333333334,,2015,01,01
2015-01-02,0.0,48.0,17.0,18.0,,0.0,,290.4375,4.922395833333334,-20.21875,,,,157.03125,1.7551041666666667,-10.895833333333343,2015,01,02
2015-01-03,,,,,,0.0,,272.6145833333333,4.867604166666667,-17.822916666666686,,,,145.17708333333334,1.7195833333333332,-11.854166666666657,2015,01,03
2015-01-04,,,,,,0.0,,257.375,4.817916666666666,-15.239583333333314,,,,135.5625,1.6885416666666666,-9.614583333333343,2015,01,04
2015-01-05,0.0,,,33.0,,0.0,,244.25,4.774166666666667,-13.125,,,,129.33333333333334,1.6688541666666665,-6.229166666666657,2015,01,05
2015-01-06,0.0,47.0,31.0,32.0,,0.0,,234.1875,4.7406250000000005,-10.0625,,,,126.57291666666667,1.6609375,-2.7604166666666714,2015,01,06
2015-01-07,,,,,,0.0,,223.78125,4.7046874999999995,-10.40625,,,,121.54166666666667,1.6451041666666664,-5.03125,2015,01,07
2015-01-08,0.0,60.0,33.0,34.0,,0.0,,213.02083333333334,4.666354166666667,-10.760416666666657,,,,114.8125,1.6227083333333334,-6.729166666666671,2015,01,08
2015-01-09,0.0,49.0,33.0,38.0,,0.0,,205.6875,4.638958333333333,-7.333333333333343,,,,109.375,1.6045833333333335,-5.4375,2015,01,09
2015-01-10,,,,,,0.0,,198.625,4.612291666666667,-7.0625,,,,104.778125,1.5892708333333336,-4.596874999999997,2015,01,10
2015-01-11,,,,,,0.0,,193.38541666666666,4.592395833333334,-5.239583333333343,,,,102.28020833333333,1.5810416666666667,-2.4979166666666686,2015,01,11
2015-01-12,0.12,,,37.0,,1.3,,209.90625,4.654583333333333,16.520833333333343,,,,125.91666666666667,1.6583333333333332,23.636458333333337,2015,01,12
2015-01-13,0.05,50.0,34.0,35.0,,0.0,,203.16666666666666,4.629270833333334,-6.739583333333343,,,,118.8125,1.6357291666666667,-7.104166666666671,2015,01,13
2015-01-14,,,,,,0.0,,191.5,4.585,-11.666666666666657,,,,106.9375,1.5964583333333335,-11.875,2015,01,14
2015-01-15,,,,,,0.0,,185.61458333333334,4.561354166666667,-5.885416666666657,,,,101.78333333333335,1.579375,-5.154166666666654,2015,01,15
2015-01-16,1.41,61.0,36.0,42.0,,27.9,,551.3333333333334,5.5249999999999995,365.71875,,,,282.3125,2.0917708333333334,180.52916666666664,2015,01,16
2015-01-17,,,,,,3.6,,625.5104166666666,5.680208333333333,74.17708333333326,,,,296.5833333333333,2.1346875,14.270833333333314,2015,01,17
2015-01-18,,,,,,22.9,,1301.3333333333333,6.698645833333334,675.8229166666666,,,,592.9791666666666,2.752291666666667,296.3958333333333,2015,01,18
2015-01-19,,,,,,0.0,,761.5625,5.935729166666667,-539.7708333333333,,,,454.3125,2.4923958333333336,-138.66666666666663,2015,01,19
2015-01-20,1.2,,,32.0,,0.0,,556.3958333333334,5.568854166666667,-205.16666666666663,,,,344.5729166666667,2.253229166666667,-109.73958333333331,2015,01,20
2015-01-21,,,,,,0.0,,457.1875,5.355520833333333,-99.20833333333337,,,,283.59375,2.1030208333333333,-60.979166666666686,2015,01,21
2015-01-22,,,,,,0.0,,396.75,5.211875,-60.4375,,,,243.34375,1.9958333333333333,-40.25,2015,01,22
2015-01-23,,,,,,0.0,,352.78125,5.0990625,-43.96875,,,,211.83333333333334,1.9042708333333334,-31.510416666666657,2015,01,23
2015-01-24,,,,,,0.0,,322.90625,5.016875,-29.875,,,,191.51041666666666,1.8509375,-20.322916666666686,2015,01,24
2015-01-25,,,,,,0.0,,299.3020833333333,4.9484375,-23.604166666666686,,,,,1.7945454545454547,,2015,01,25
2015-01-26,0.0,,,36.0,,0.0,,279.8645833333333,4.89,-19.4375,,,,,,,2015,01,26
2015-01-27,0.0,66.0,32.0,38.0,,0.0,,263.15625,4.8371875,-16.708333333333314,,,,,1.6934999999999998,,2015,01,27
2015-01-28,0.0,51.0,34.0,35.0,,0.0,,248.34375,4.7878125,-14.8125,,,,129.04166666666666,1.6680208333333333,,2015,01,28
2015-01-29,0.0,55.0,35.0,36.0,,0.0,,235.8125,4.746041666666667,-12.53125,,,,120.53125,1.6417708333333332,-8.510416666666657,2015,01,29
2015-01-30,0.0,60.0,35.0,37.0,,,,224.48958333333334,4.7078125,-11.322916666666657,,,,113.71875,1.6190625,-6.8125,2015,01,30
2015-01-31,,,,,,,,214.89583333333334,4.672916666666667,-9.59375,,,,107.28125,1.5976041666666667,-6.4375,2015,01,31
2015-02-01,,,,,,0.0,,206.20833333333334,4.640729166666667,-8.6875,,,,103.27604166666667,1.5842708333333333,-4.005208333333329,2015,02,01
2015-02-02,0.79,,,43.0,,23.1,,322.5208333333333,4.998645833333334,116.31249999999997,,,,175.33333333333334,1.8016666666666667,72.05729166666667,2015,02,02
2015-02-03,1.24,54.0,43.0,45.0,,0.0,,771.75,5.933333333333334,449.2291666666667,,,,387.75,2.3420833333333335,212.41666666666666,2015,02,03
2015-02-04,0.0,64.0,43.0,44.0,,0.0,,,5.686136363636364,,,,,316.375,2.1846875,-71.375,2015,02,04
2015-02-05,0.65,63.0,41.0,43.0,,11.4,,,5.815333333333333,,,,,395.3854166666667,2.33875,79.01041666666669,2015,02,05
2015-02-06,3.8,51.0,43.0,44.0,,57.2,,,11.155454545454546,,,,,2656.46875,4.923229166666666,2261.0833333333335,2015,02,06
2015-02-07,,,,,,58.4,,4228.958333333333,9.575520833333334,,,,,1839.375,4.319791666666666,-817.09375,2015,02,07
2015-02-08,,,,,,1.0,,2287.5,7.8396875,-1941.458333333333,,,,1141.53125,3.5666666666666664,-697.84375,2015,02,08
2015-02-09,,,,,,27.4,,2235.1041666666665,7.786979166666666,-52.395833333333485,,,,1105.0625,3.521875,-36.46875,2015,02,09
2015-02-10,,,,36.0,,4.1,,1637.7083333333333,7.125729166666667,-597.3958333333333,,,,884.9895833333334,3.224375,-220.07291666666663,2015,02,10
2015-02-11,0.0,53.0,34.0,35.0,,0.0,,1205.5208333333333,6.585208333333333,-432.1875,,,,698.9791666666666,2.9398958333333334,-186.01041666666674,2015,02,11
2015-02-12,0.0,59.0,35.0,36.0,,0.0,,981.5104166666666,6.274791666666666,-224.01041666666663,,,,565.2916666666666,2.7075,-133.6875,2015,02,12
2015-02-13,0.0,59.0,36.0,38.0,,0.0,,804.8333333333334,6.008541666666667,-176.67708333333326,,,,462.0729166666667,2.5094791666666665,-103.21874999999994,2015,02,13
2015-02-14,,,,,,0.0,,689.71875,5.820625,-115.11458333333337,,,,393.9583333333333,2.3663541666666665,-68.11458333333337,2015,02,14
2015-02-15,,,,,,0.0,,592.1875,5.640729166666667,-97.53125,,,,342.0416666666667,2.247916666666667,-51.91666666666663,2015,02,15
2015-02-16,,,,,,0.0,,521.5833333333334,5.497083333333333,-70.60416666666663,,,,305.8333333333333,2.1595833333333334,-36.20833333333337,2015,02,16
2015-02-17,,,,,,0.0,,465.2291666666667,5.364375,-56.354166666666686,,,,278.3958333333333,2.0898958333333333,-27.4375,2015,02,17
2015-02-18,0.0,72.0,35.0,37.0,,0.0,,429.6145833333333,5.2753125,-35.61458333333337,,,,255.38541666666666,2.0294791666666665,-23.010416666666657,2015,02,18
2015-02-19,,,,,,0.0,,400.125,5.196041666666667,-29.489583333333314,,,,239.35416666666666,1.9851041666666667,-16.03125,2015,02,19
2015-02-20,0.0,71.0,30.0,30.0,,0.0,,373.7395833333333,5.123958333333333,-26.385416666666686,,,,224.69791666666666,1.9420833333333334,-14.65625,2015,02,20
2015-02-21,,,,,,0.0,,355.34375,5.0665625,-18.395833333333314,,,,213.67708333333334,1.9091666666666667,-11.020833333333314,2015,02,21
2015-02-22,,,,,,0.0,,333.78125,5.007083333333333,-21.5625,,,,204.30208333333334,1.8835416666666667,-9.375,2015,02,22
2015-02-23,,,,,,0.0,,317.2604166666667,4.955208333333333,-16.520833333333314,,,,191.89583333333334,1.8520833333333335,-12.40625,2015,02,23
2015-02-24,,,,,,0.0,,302.1979166666667,4.9070833333333335,-15.0625,,,,181.55208333333334,1.8241666666666667,-10.34375,2015,02,24
2015-02-25,,,,,,0.0,,287.8645833333333,4.860520833333333,-14.333333333333371,,,,173.80208333333334,1.8031249999999999,-7.75,2015,02,25
2015-02-26,,,,,,0.0,,280.9583333333333,4.833333333333333,-6.90625,,,,171.16666666666666,1.7957291666666668,-2.6354166666666856,2015,02,26
2015-02-27,,,,,,3.3,,284.7916666666667,4.847499999999999,3.8333333333333712,,,,183.4375,1.8292708333333334,12.270833333333343,2015,02,27
2015-02-28,,,,,,1.5,,271.8125,4.804895833333333,-12.979166666666686,,,,171.45833333333334,1.7965625,-11.979166666666657,2015,02,28
2015-03-01,,,,,,0.0,,257.8125,4.757916666666667,-14.0,6170.625,,,157.64583333333334,1.7569791666666665,-13.8125,2015,03,01
2015-03-02,0.0,,,34.0,,0.0,,250.125,4.72375,-7.6875,5886.666666666667,,-283.95833333333303,155.32291666666666,1.7498958333333334,-2.3229166666666856,2015,03,02
2015-03-03,0.0,65.0,23.0,30.0,,0.0,,240.1875,4.690625,-9.9375,5761.875,,-124.79166666666697,148.94791666666666,1.7305208333333333,-6.375,2015,03,03
2015-03-04,0.0,67.0,27.0,28.0,,0.0,,231.0,4.66,-9.1875,5670.0,,-91.875,142.57291666666666,1.711875,-6.375,2015,03,04
2015-03-05,0.0,72.0,27.0,28.0,,0.0,,223.32291666666666,4.627083333333333,-7.677083333333343,5471.25,,-198.75,140.41666666666666,1.7046875000000001,-2.15625,2015,03,05
2015-03-06,0.0,74.0,28.0,36.0,,0.0,,216.48958333333334,4.598333333333334,-6.833333333333314,5408.020833333333,,-63.22916666666697,134.78125,1.6859374999999999,-5.635416666666657,2015,03,06
2015-03-07,,,,,,0.0,,208.80208333333334,4.570520833333333,-7.6875,5470.833333333333,,62.8125,131.27083333333334,1.6743749999999997,-3.510416666666657,2015,03,07
