DATE,discharge,gage_ht,PRCP,TMAX,TMIN,TOBS,year,month,day
2015-01-01,310.65625,4.981979166666666,,,,,2015,01,01
2015-01-02,290.4375,4.922395833333334,0.0,48.0,17.0,18.0,2015,01,02
2015-01-03,272.6145833333333,4.867604166666667,,,,,2015,01,03
2015-01-04,257.375,4.817916666666666,,,,,2015,01,04
2015-01-05,244.25,4.774166666666667,0.0,,,33.0,2015,01,05
2015-01-06,234.1875,4.7406250000000005,0.0,47.0,31.0,32.0,2015,01,06
2015-01-07,223.78125,4.7046874999999995,,,,,2015,01,07
2015-01-08,213.02083333333334,4.666354166666667,0.0,60.0,33.0,34.0,2015,01,08
2015-01-09,205.6875,4.638958333333333,0.0,49.0,33.0,38.0,2015,01,09
2015-01-10,198.625,4.612291666666667,,,,,2015,01,10
2015-01-11,193.38541666666666,4.592395833333334,,,,,2015,01,11
2015-01-12,209.90625,4.654583333333333,0.12,,,37.0,2015,01,12
2015-01-13,203.16666666666666,4.629270833333334,0.05,50.0,34.0,35.0,2015,01,13
2015-01-14,191.5,4.585,,,,,2015,01,14
2015-01-15,185.61458333333334,4.561354166666667,,,,,2015,01,15
2015-01-16,551.3333333333334,5.5249999999999995,1.41,61.0,36.0,42.0,2015,01,16
2015-01-17,625.5104166666666,5.680208333333333,,,,,2015,01,17
2015-01-18,1301.3333333333333,6.698645833333334,,,,,2015,01,18
2015-01-19,761.5625,5.935729166666667,,,,,2015,01,19
2015-01-20,556.3958333333334,5.568854166666667,1.2,,,32.0,2015,01,20
2015-01-21,457.1875,5.355520833333333,,,,,2015,01,21
2015-01-22,396.75,5.211875,,,,,2015,01,22
2015-01-23,352.78125,5.0990625,,,,,2015,01,23
2015-01-24,322.90625,5.016875,,,,,2015,01,24
2015-01-25,299.3020833333333,4.9484375,,,,,2015,01,25
2015-01-26,279.8645833333333,4.89,0.0,,,36.0,2015,01,26
2015-01-27,263.15625,4.8371875,0.0,66.0,32.0,38.0,2015,01,27
2015-01-28,248.34375,4.7878125,0.0,51.0,34.0,35.0,2015,01,28
2015-01-29,235.8125,4.746041666666667,0.0,55.0,35.0,36.0,2015,01,29
2015-01-30,224.48958333333334,4.7078125,0.0,60.0,35.0,37.0,2015,01,30
2015-01-31,214.89583333333334,4.672916666666667,,,,,2015,01,31
2015-02-01,206.20833333333334,4.640729166666667,,,,,2015,02,01
2015-02-02,322.5208333333333,4.998645833333334,0.79,,,43.0,2015,02,02
2015-02-03,771.75,5.933333333333334,1.24,54.0,43.0,45.0,2015,02,03
2015-02-04,,5.686136363636364,0.0,64.0,43.0,44.0,2015,02,04
2015-02-05,,5.815333333333333,0.65,63.0,41.0,43.0,2015,02,05
2015-02-06,,11.155454545454546,3.8,51.0,43.0,44.0,2015,02,06
2015-02-07,4228.958333333333,9.575520833333334,,,,,2015,02,07
2015-02-08,2287.5,7.8396875,,,,,2015,02,08
2015-02-09,2235.1041666666665,7.786979166666666,,,,,2015,02,09
2015-02-10,1637.7083333333333,7.125729166666667,,,,36.0,2015,02,10
2015-02-11,1205.5208333333333,6.585208333333333,0.0,53.0,34.0,35.0,2015,02,11
2015-02-12,981.5104166666666,6.274791666666666,0.0,59.0,35.0,36.0,2015,02,12
2015-02-13,804.8333333333334,6.008541666666667,0.0,59.0,36.0,38.0,2015,02,13
2015-02-14,689.71875,5.820625,,,,,2015,02,14
2015-02-15,592.1875,5.640729166666667,,,,,2015,02,15
2015-02-16,521.5833333333334,5.497083333333333,,,,,2015,02,16
2015-02-17,465.2291666666667,5.364375,,,,,2015,02,17
2015-02-18,429.6145833333333,5.2753125,0.0,72.0,35.0,37.0,2015,02,18
2015-02-19,400.125,5.196041666666667,,,,,2015,02,19
2015-02-20,373.7395833333333,5.123958333333333,0.0,71.0,30.0,30.0,2015,02,20
2015-02-21,355.34375,5.0665625,,,,,2015,02,21
2015-02-22,333.78125,5.007083333333333,,,,,2015,02,22
2015-02-23,317.2604166666667,4.955208333333333,,,,,2015,02,23
2015-02-24,302.1979166666667,4.9070833333333335,,,,,2015,02,24
2015-02-25,287.8645833333333,4.860520833333333,,,,,2015,02,25
2015-02-26,280.9583333333333,4.833333333333333,,,,,2015,02,26
2015-02-27,284.7916666666667,4.847499999999999,,,,,2015,02,27
2015-02-28,271.8125,4.804895833333333,,,,,2015,02,28
2015-03-01,257.8125,4.757916666666667,,,,,2015,03,01
2015-03-02,250.125,4.72375,0.0,,,34.0,2015,03,02
2015-03-03,240.1875,4.690625,0.0,65.0,23.0,30.0,2015,03,03
2015-03-04,231.0,4.66,0.0,67.0,27.0,28.0,2015,03,04
2015-03-05,223.32291666666666,4.627083333333333,0.0,72.0,27.0,28.0,2015,03,05
2015-03-06,216.48958333333334,4.598333333333334,0.0,74.0,28.0,36.0,2015,03,06
2015-03-07,208.80208333333334,4.570520833333333,,,,,2015,03,07
2015-03-08,202.57608695652175,4.547282608695652,,,,,2015,03,08
2015-03-09,195.79166666666666,4.521979166666667,0.0,,,34.0,2015,03,09
2015-03-10,190.6875,4.501666666666666,,,,,2015,03,10
2015-03-11,193.59375,4.513020833333333,,,,,2015,03,11
2015-03-12,192.41666666666666,4.508333333333334,0.61,72.0,37.0,45.0,2015,03,12
2015-03-13,182.42708333333334,4.468541666666667,0.0,75.0,41.0,43.0,2015,03,13
2015-03-14,195.84375,4.520104166666667,,,,,2015,03,14
2015-03-15,269.1354166666667,4.7875000000000005,,,,,2015,03,15
2015-03-16,304.3645833333333,4.911145833333333,1.41,,,42.0,2015,03,16
2015-03-17,248.09375,4.719895833333333,,,,,2015,03,17
2015-03-18,223.0,4.625208333333333,0.0,69.0,33.0,34.0,2015,03,18
2015-03-19,207.1875,4.564583333333333,,,,,2015,03,19
2015-03-20,196.86458333333334,4.525729166666666,0.0,79.0,34.0,38.0,2015,03,20
2015-03-21,221.41666666666666,4.619270833333333,,,,,2015,03,21
2015-03-22,242.38541666666666,4.696979166666667,,,,,2015,03,22
2015-03-23,309.71875,4.92875,1.6,,,37.0,2015,03,23
