# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2022-12-08 12:51:23 EST       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11451100 NF CACHE C A HOUGH SPRING NR CLEARLAKE OAKS CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11451100
#            TS   parameter     statistic     Description
#         11067       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	11067_00060_00003	11067_00060_00003_cd
5s	15s	20d	14n	10s
USGS	11451100	2012-01-01	5.69	A
USGS	11451100	2012-01-02	5.46	A
USGS	11451100	2012-01-03	5.40	A
USGS	11451100	2012-01-04	5.40	A
USGS	11451100	2012-01-05	5.40	A
USGS	11451100	2012-01-06	5.30	A
USGS	11451100	2012-01-07	5.30	A
USGS	11451100	2012-01-08	5.20	A
USGS	11451100	2012-01-09	5.20	A
USGS	11451100	2012-01-10	5.15	A
USGS	11451100	2012-01-11	5.09	A
USGS	11451100	2012-01-12	5.19	A
USGS	11451100	2012-01-13	5.32	A
USGS	11451100	2012-01-14	5.37	A
USGS	11451100	2012-01-15	5.43	A
USGS	11451100	2012-01-16	5.41	A
USGS	11451100	2012-01-17	5.29	A
USGS	11451100	2012-01-18	5.79	A
USGS	11451100	2012-01-19	8.75	A
USGS	11451100	2012-01-20	83.5	A
USGS	11451100	2012-01-21	385	A
USGS	11451100	2012-01-22	119	A
USGS	11451100	2012-01-23	609	A
USGS	11451100	2012-01-24	143	A
USGS	11451100	2012-01-25	87.3	A
USGS	11451100	2012-01-26	67.4	A
USGS	11451100	2012-01-27	54.0	A
USGS	11451100	2012-01-28	40.9	A
USGS	11451100	2012-01-29	33.2	A
USGS	11451100	2012-01-30	28.5	A
USGS	11451100	2012-01-31	25.0	A
USGS	11451100	2012-02-01	22.9	A
USGS	11451100	2012-02-02	20.8	A
USGS	11451100	2012-02-03	19.2	A
USGS	11451100	2012-02-04	17.9	A
USGS	11451100	2012-02-05	16.8	A
USGS	11451100	2012-02-06	16.1	A
USGS	11451100	2012-02-07	61.7	A
USGS	11451100	2012-02-08	84.1	A
USGS	11451100	2012-02-09	51.2	A
USGS	11451100	2012-02-10	40.9	A
USGS	11451100	2012-02-11	36.9	A
USGS	11451100	2012-02-12	32.6	A
USGS	11451100	2012-02-13	37.8	A
USGS	11451100	2012-02-14	42.1	A
USGS	11451100	2012-02-15	36.5	A
USGS	11451100	2012-02-16	31.3	A
USGS	11451100	2012-02-17	28.2	A
USGS	11451100	2012-02-18	26.2	A
USGS	11451100	2012-02-19	24.9	A
USGS	11451100	2012-02-20	23.5	A
USGS	11451100	2012-02-21	22.0	A
USGS	11451100	2012-02-22	20.6	A
USGS	11451100	2012-02-23	19.4	A
USGS	11451100	2012-02-24	18.7	A
USGS	11451100	2012-02-25	17.5	A
USGS	11451100	2012-02-26	17.0	A
USGS	11451100	2012-02-27	16.6	A
USGS	11451100	2012-02-28	16.3	A
USGS	11451100	2012-02-29	66.6	A
USGS	11451100	2012-03-01	59.8	A
USGS	11451100	2012-03-02	62.6	A
USGS	11451100	2012-03-03	48.5	A
USGS	11451100	2012-03-04	42.6	A
USGS	11451100	2012-03-05	38.3	A
USGS	11451100	2012-03-06	34.4	A
USGS	11451100	2012-03-07	30.5	A
USGS	11451100	2012-03-08	27.5	A
USGS	11451100	2012-03-09	25.2	A
USGS	11451100	2012-03-10	24.1	A
