# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2022-12-08 13:00:27 EST       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 12381400 South Fork Jocko River near Arlee MT
# -----------------------------------------------------------------------------------
#
# Data provided for site 12381400
#            TS   parameter     statistic     Description
#         82127       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	82127_00060_00003	82127_00060_00003_cd
5s	15s	20d	14n	10s
USGS	12381400	2012-01-01	16.0	A:e
USGS	12381400	2012-01-02	15.0	A:e
USGS	12381400	2012-01-03	15.0	A:e
USGS	12381400	2012-01-04	16.6	A
USGS	12381400	2012-01-05	16.6	A
USGS	12381400	2012-01-06	16.1	A
USGS	12381400	2012-01-07	17.4	A
USGS	12381400	2012-01-08	17.5	A
USGS	12381400	2012-01-09	16.5	A
USGS	12381400	2012-01-10	15.9	A
USGS	12381400	2012-01-11	14.6	A
USGS	12381400	2012-01-12	10.0	A:e
USGS	12381400	2012-01-13	15.0	A:e
USGS	12381400	2012-01-14	10.0	A:e
USGS	12381400	2012-01-15	9.00	A:e
USGS	12381400	2012-01-16	8.00	A:e
USGS	12381400	2012-01-17	8.00	A:e
USGS	12381400	2012-01-18	9.00	A:e
USGS	12381400	2012-01-19	10.0	A:e
USGS	12381400	2012-01-20	12.0	A:e
USGS	12381400	2012-01-21	13.0	A:e
USGS	12381400	2012-01-22	13.0	A:e
USGS	12381400	2012-01-23	13.0	A:e
USGS	12381400	2012-01-24	12.0	A:e
USGS	12381400	2012-01-25	11.0	A:e
USGS	12381400	2012-01-26	10.0	A:e
USGS	12381400	2012-01-27	9.00	A:e
USGS	12381400	2012-01-28	8.00	A:e
USGS	12381400	2012-01-29	8.00	A:e
USGS	12381400	2012-01-30	8.50	A:e
USGS	12381400	2012-01-31	8.50	A:e
USGS	12381400	2012-02-01	8.50	A:e
USGS	12381400	2012-02-02	8.50	A:e
USGS	12381400	2012-02-03	8.50	A:e
USGS	12381400	2012-02-04	8.50	A:e
USGS	12381400	2012-02-05	8.00	A:e
USGS	12381400	2012-02-06	8.00	A:e
USGS	12381400	2012-02-07	8.00	A:e
USGS	12381400	2012-02-08	7.50	A:e
USGS	12381400	2012-02-09	7.00	A:e
USGS	12381400	2012-02-10	8.00	A:e
USGS	12381400	2012-02-11	8.00	A:e
USGS	12381400	2012-02-12	9.00	A:e
USGS	12381400	2012-02-13	8.50	A:e
USGS	12381400	2012-02-14	8.00	A:e
USGS	12381400	2012-02-15	7.50	A:e
USGS	12381400	2012-02-16	7.00	A:e
USGS	12381400	2012-02-17	7.00	A:e
USGS	12381400	2012-02-18	7.50	A:e
USGS	12381400	2012-02-19	8.00	A:e
USGS	12381400	2012-02-20	9.00	A:e
USGS	12381400	2012-02-21	9.00	A:e
USGS	12381400	2012-02-22	10.0	A:e
USGS	12381400	2012-02-23	9.50	A:e
USGS	12381400	2012-02-24	9.00	A:e
USGS	12381400	2012-02-25	9.00	A:e
USGS	12381400	2012-02-26	9.00	A:e
USGS	12381400	2012-02-27	9.00	A:e
USGS	12381400	2012-02-28	8.50	A:e
USGS	12381400	2012-02-29	7.00	A:e
USGS	12381400	2012-03-01	8.00	A:e
