# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2022-12-07 19:34:56 EST       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 12120000 MERCER CREEK NEAR BELLEVUE, WA
# -----------------------------------------------------------------------------------
#
# Data provided for site 12120000
#            TS   parameter     statistic     Description
#        149030       00060     00003     Discharge, cubic feet per second (Mean), [Discontinued 10/30/2019]
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	149030_00060_00003	149030_00060_00003_cd
5s	15s	20d	14n	10s
USGS	12120000	2016-09-01	6.56	A
USGS	12120000	2016-09-02	23.6	A
USGS	12120000	2016-09-03	13.0	A
USGS	12120000	2016-09-04	7.96	A
USGS	12120000	2016-09-05	6.40	A
USGS	12120000	2016-09-06	11.5	A
USGS	12120000	2016-09-07	8.55	A
USGS	12120000	2016-09-08	7.23	A
USGS	12120000	2016-09-09	6.22	A
USGS	12120000	2016-09-10	6.07	A
USGS	12120000	2016-09-11	5.71	A
USGS	12120000	2016-09-12	5.70	A
USGS	12120000	2016-09-13	5.77	A
USGS	12120000	2016-09-14	7.81	A
USGS	12120000	2016-09-15	6.41	A
USGS	12120000	2016-09-16	6.13	A
USGS	12120000	2016-09-17	8.97	A
USGS	12120000	2016-09-18	10.1	A
USGS	12120000	2016-09-19	9.28	A
USGS	12120000	2016-09-20	8.95	A
USGS	12120000	2016-09-21	6.47	A
USGS	12120000	2016-09-22	6.06	A
USGS	12120000	2016-09-23	5.98	A
USGS	12120000	2016-09-24	5.91	A
USGS	12120000	2016-09-25	6.11	A
USGS	12120000	2016-09-26	5.64	A
USGS	12120000	2016-09-27	5.65	A
USGS	12120000	2016-09-28	6.95	A
USGS	12120000	2016-09-29	6.43	A
USGS	12120000	2016-09-30	5.89	A
USGS	12120000	2016-10-01	6.47	A
USGS	12120000	2016-10-02	6.78	A
USGS	12120000	2016-10-03	5.93	A
USGS	12120000	2016-10-04	7.83	A
USGS	12120000	2016-10-05	7.51	A
USGS	12120000	2016-10-06	7.01	A
USGS	12120000	2016-10-07	21.9	A
USGS	12120000	2016-10-08	19.7	A
USGS	12120000	2016-10-09	57.3	A
USGS	12120000	2016-10-10	18.2	A
USGS	12120000	2016-10-11	9.64	A
USGS	12120000	2016-10-12	7.93	A
USGS	12120000	2016-10-13	63.3	A
USGS	12120000	2016-10-14	177	A
USGS	12120000	2016-10-15	103	A
USGS	12120000	2016-10-16	68.5	A
USGS	12120000	2016-10-17	47.0	A
USGS	12120000	2016-10-18	24.2	A
USGS	12120000	2016-10-19	13.6	A
USGS	12120000	2016-10-20	139	A
USGS	12120000	2016-10-21	40.6	A
USGS	12120000	2016-10-22	20.5	A
USGS	12120000	2016-10-23	22.2	A
USGS	12120000	2016-10-24	15.3	A
USGS	12120000	2016-10-25	26.1	A
USGS	12120000	2016-10-26	90.4	A
USGS	12120000	2016-10-27	113	A
USGS	12120000	2016-10-28	34.1	A
USGS	12120000	2016-10-29	22.6	A
USGS	12120000	2016-10-30	16.5	A
USGS	12120000	2016-10-31	66.0	A
USGS	12120000	2016-11-01	100	A
USGS	12120000	2016-11-02	54.0	A
USGS	12120000	2016-11-03	44.6	A
USGS	12120000	2016-11-04	20.5	A
USGS	12120000	2016-11-05	66.3	A
USGS	12120000	2016-11-06	100	A
USGS	12120000	2016-11-07	33.6	A
USGS	12120000	2016-11-08	19.8	A
USGS	12120000	2016-11-09	31.1	A
USGS	12120000	2016-11-10	19.8	A
USGS	12120000	2016-11-11	14.2	A
USGS	12120000	2016-11-12	15.4	A
USGS	12120000	2016-11-13	16.1	A
USGS	12120000	2016-11-14	35.4	A
USGS	12120000	2016-11-15	134	A
USGS	12120000	2016-11-16	110	A
USGS	12120000	2016-11-17	39.1	A
USGS	12120000	2016-11-18	24.0	A
USGS	12120000	2016-11-19	19.5	A
USGS	12120000	2016-11-20	20.7	A
USGS	12120000	2016-11-21	17.1	A
USGS	12120000	2016-11-22	17.7	A
USGS	12120000	2016-11-23	63.1	A
USGS	12120000	2016-11-24	82.5	A
