# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2022-12-08 12:08:39 EST       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11246500 WILLOW C A MOUTH NR AUBERRY CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11246500
#            TS   parameter     statistic     Description
#        213773       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	213773_00060_00003	213773_00060_00003_cd
5s	15s	20d	14n	10s
USGS	11246500	2012-01-01	6.40	A:e
USGS	11246500	2012-01-02	4.10	A:e
USGS	11246500	2012-01-03	4.10	A:e
USGS	11246500	2012-01-04	4.10	A:e
USGS	11246500	2012-01-05	4.10	A:e
USGS	11246500	2012-01-06	4.10	A:e
USGS	11246500	2012-01-07	4.10	A:e
USGS	11246500	2012-01-08	4.10	A:e
USGS	11246500	2012-01-09	4.10	A:e
USGS	11246500	2012-01-10	4.10	A:e
USGS	11246500	2012-01-11	4.20	A:e
USGS	11246500	2012-01-12	4.20	A:e
USGS	11246500	2012-01-13	4.20	A:e
USGS	11246500	2012-01-14	4.20	A:e
USGS	11246500	2012-01-15	4.20	A:e
USGS	11246500	2012-01-16	4.30	A:e
USGS	11246500	2012-01-17	4.30	A:e
USGS	11246500	2012-01-18	4.40	A:e
USGS	11246500	2012-01-19	4.50	A:e
USGS	11246500	2012-01-20	5.40	A:e
USGS	11246500	2012-01-21	37.0	A:e
USGS	11246500	2012-01-22	16.0	A:e
USGS	11246500	2012-01-23	44.0	A:e
USGS	11246500	2012-01-24	31.0	A:e
USGS	11246500	2012-01-25	27.0	A:e
USGS	11246500	2012-01-26	22.0	A:e
USGS	11246500	2012-01-27	5.10	A:e
USGS	11246500	2012-01-28	4.40	A:e
USGS	11246500	2012-01-29	4.30	A:e
USGS	11246500	2012-01-30	4.10	A:e
USGS	11246500	2012-01-31	4.00	A:e
USGS	11246500	2012-02-01	12.0	A:e
USGS	11246500	2012-02-02	12.0	A:e
USGS	11246500	2012-02-03	12.0	A:e
USGS	11246500	2012-02-04	12.0	A:e
USGS	11246500	2012-02-05	12.0	A:e
USGS	11246500	2012-02-06	12.0	A:e
USGS	11246500	2012-02-07	12.0	A:e
USGS	11246500	2012-02-08	12.0	A:e
USGS	11246500	2012-02-09	12.0	A:e
USGS	11246500	2012-02-10	13.0	A:e
USGS	11246500	2012-02-11	14.0	A:e
USGS	11246500	2012-02-12	15.0	A:e
USGS	11246500	2012-02-13	17.0	A:e
USGS	11246500	2012-02-14	14.0	A:e
USGS	11246500	2012-02-15	12.0	A:e
USGS	11246500	2012-02-16	12.0	A:e
USGS	11246500	2012-02-17	12.0	A:e
USGS	11246500	2012-02-18	12.0	A:e
USGS	11246500	2012-02-19	12.0	A:e
USGS	11246500	2012-02-20	13.0	A:e
USGS	11246500	2012-02-21	13.0	A:e
USGS	11246500	2012-02-22	12.0	A:e
USGS	11246500	2012-02-23	12.0	A:e
USGS	11246500	2012-02-24	12.0	A:e
USGS	11246500	2012-02-25	12.0	A:e
USGS	11246500	2012-02-26	12.0	A:e
USGS	11246500	2012-02-27	13.0	A:e
USGS	11246500	2012-02-28	13.0	A:e
USGS	11246500	2012-02-29	13.0	A:e
USGS	11246500	2012-03-01	12.0	A:e
USGS	11246500	2012-03-02	12.0	A:e
USGS	11246500	2012-03-03	12.0	A
USGS	11246500	2012-03-04	13.0	A
USGS	11246500	2012-03-05	13.0	A
USGS	11246500	2012-03-06	13.0	A
USGS	11246500	2012-03-07	12.0	A
USGS	11246500	2012-03-08	12.0	A
USGS	11246500	2012-03-09	12.0	A
USGS	11246500	2012-03-10	12.0	A
USGS	11246500	2012-03-11	12.0	A
USGS	11246500	2012-03-12	12.0	A
USGS	11246500	2012-03-13	12.0	A
USGS	11246500	2012-03-14	12.0	A
USGS	11246500	2012-03-15	13.0	A
USGS	11246500	2012-03-16	13.0	A
USGS	11246500	2012-03-17	92.0	A
USGS	11246500	2012-03-18	65.0	A
USGS	11246500	2012-03-19	60.0	A
USGS	11246500	2012-03-20	42.0	A
USGS	11246500	2012-03-21	50.0	A
USGS	11246500	2012-03-22	53.0	A
USGS	11246500	2012-03-23	43.0	A:e
USGS	11246500	2012-03-24	32.0	A:e
USGS	11246500	2012-03-25	31.0	A:e
USGS	11246500	2012-03-26	44.0	A:e
USGS	11246500	2012-03-27	36.0	A
USGS	11246500	2012-03-28	31.0	A:e
USGS	11246500	2012-03-29	30.0	A
USGS	11246500	2012-03-30	31.0	A
USGS	11246500	2012-03-31	49.0	A
USGS	11246500	2012-04-01	60.0	A
USGS	11246500	2012-04-02	39.0	A:e
USGS	11246500	2012-04-03	36.0	A
USGS	11246500	2012-04-04	37.0	A:e
USGS	11246500	2012-04-05	33.0	A:e
USGS	11246500	2012-04-06	29.0	A
USGS	11246500	2012-04-07	28.0	A
USGS	11246500	2012-04-08	27.0	A
USGS	11246500	2012-04-09	28.0	A:e
USGS	11246500	2012-04-10	29.0	A:e
USGS	11246500	2012-04-11	47.0	A:e
USGS	11246500	2012-04-12	42.0	A
USGS	11246500	2012-04-13	57.0	A
USGS	11246500	2012-04-14	62.0	A
USGS	11246500	2012-04-15	51.0	A
USGS	11246500	2012-04-16	49.0	A
USGS	11246500	2012-04-17	56.0	A
USGS	11246500	2012-04-18	55.0	A
USGS	11246500	2012-04-19	55.0	A
USGS	11246500	2012-04-20	59.0	A
USGS	11246500	2012-04-21	61.0	A
USGS	11246500	2012-04-22	56.0	A
USGS	11246500	2012-04-23	47.0	A
USGS	11246500	2012-04-24	44.0	A
USGS	11246500	2012-04-25	40.0	A
USGS	11246500	2012-04-26	75.0	A
USGS	11246500	2012-04-27	73.0	A
USGS	11246500	2012-04-28	55.0	A
USGS	11246500	2012-04-29	46.0	A
USGS	11246500	2012-04-30	39.0	A
USGS	11246500	2012-05-01	35.0	A
USGS	11246500	2012-05-02	32.0	A
USGS	11246500	2012-05-03	30.0	A
USGS	11246500	2012-05-04	29.0	A
USGS	11246500	2012-05-05	28.0	A
USGS	11246500	2012-05-06	26.0	A
USGS	11246500	2012-05-07	24.0	A
USGS	11246500	2012-05-08	23.0	A
USGS	11246500	2012-05-09	21.0	A
USGS	11246500	2012-05-10	21.0	A
USGS	11246500	2012-05-11	20.0	A
USGS	11246500	2012-05-12	19.0	A
USGS	11246500	2012-05-13	18.0	A
USGS	11246500	2012-05-14	17.0	A
USGS	11246500	2012-05-15	17.0	A
USGS	11246500	2012-05-16	16.0	A
USGS	11246500	2012-05-17	16.0	A
USGS	11246500	2012-05-18	15.0	A
USGS	11246500	2012-05-19	16.0	A
USGS	11246500	2012-05-20	15.0	A
USGS	11246500	2012-05-21	14.0	A
USGS	11246500	2012-05-22	14.0	A
USGS	11246500	2012-05-23	13.0	A
USGS	11246500	2012-05-24	13.0	A
USGS	11246500	2012-05-25	13.0	A
USGS	11246500	2012-05-26	14.0	A
USGS	11246500	2012-05-27	15.0	A
USGS	11246500	2012-05-28	14.0	A
USGS	11246500	2012-05-29	13.0	A
USGS	11246500	2012-05-30	12.0	A
USGS	11246500	2012-05-31	12.0	A
USGS	11246500	2012-06-01	12.0	A
USGS	11246500	2012-06-02	11.0	A
USGS	11246500	2012-06-03	11.0	A
USGS	11246500	2012-06-04	10.0	A
USGS	11246500	2012-06-05	11.0	A
USGS	11246500	2012-06-06	11.0	A
USGS	11246500	2012-06-07	12.0	A
USGS	11246500	2012-06-08	11.0	A
USGS	11246500	2012-06-09	17.0	A
USGS	11246500	2012-06-10	18.0	A
USGS	11246500	2012-06-11	17.0	A
USGS	11246500	2012-06-12	17.0	A
USGS	11246500	2012-06-13	20.0	A
USGS	11246500	2012-06-14	18.0	A
USGS	11246500	2012-06-15	18.0	A
USGS	11246500	2012-06-16	18.0	A
USGS	11246500	2012-06-17	19.0	A
USGS	11246500	2012-06-18	23.0	A
USGS	11246500	2012-06-19	18.0	A
USGS	11246500	2012-06-20	16.0	A
USGS	11246500	2012-06-21	15.0	A
USGS	11246500	2012-06-22	15.0	A
USGS	11246500	2012-06-23	13.0	A
USGS	11246500	2012-06-24	16.0	A
USGS	11246500	2012-06-25	17.0	A
USGS	11246500	2012-06-26	17.0	A
USGS	11246500	2012-06-27	17.0	A
USGS	11246500	2012-06-28	14.0	A
USGS	11246500	2012-06-29	14.0	A
USGS	11246500	2012-06-30	6.90	A
USGS	11246500	2012-07-01	8.00	A
USGS	11246500	2012-07-02	8.10	A
USGS	11246500	2012-07-03	7.80	A
USGS	11246500	2012-07-04	7.40	A
USGS	11246500	2012-07-05	7.00	A
USGS	11246500	2012-07-06	7.80	A
USGS	11246500	2012-07-07	9.60	A
USGS	11246500	2012-07-08	10.0	A
USGS	11246500	2012-07-09	11.0	A
USGS	11246500	2012-07-10	11.0	A
USGS	11246500	2012-07-11	10.0	A
USGS	11246500	2012-07-12	9.10	A
USGS	11246500	2012-07-13	9.60	A
USGS	11246500	2012-07-14	9.00	A
USGS	11246500	2012-07-15	8.70	A
USGS	11246500	2012-07-16	8.50	A
USGS	11246500	2012-07-17	8.60	A
USGS	11246500	2012-07-18	6.80	A
USGS	11246500	2012-07-19	6.10	A
USGS	11246500	2012-07-20	8.90	A
USGS	11246500	2012-07-21	8.60	A
USGS	11246500	2012-07-22	8.70	A
USGS	11246500	2012-07-23	8.90	A
USGS	11246500	2012-07-24	7.10	A
USGS	11246500	2012-07-25	6.60	A
USGS	11246500	2012-07-26	6.40	A
