"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-01-02",,,"0.00",,,"48","17","18"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-01-05",,,"0.00",,,,,"33"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-01-06",,,"0.00",,,"47","31","32"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-01-08",,,"0.00",,,"60","33","34"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-01-09",,,"0.00",,,"49","33","38"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-01-12",,,"0.12",,,,,"37"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-01-13",,,"0.05",,,"50","34","35"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-01-16",,,"1.41",,,"61","36","42"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-01-20",,,"1.20",,,,,"32"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-01-26",,,"0.00",,,,,"36"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-01-27",,,"0.00",,,"66","32","38"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-01-28",,,"0.00",,,"51","34","35"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-01-29",,,"0.00",,,"55","35","36"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-01-30",,,"0.00",,,"60","35","37"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-02-02",,,"0.79",,,,,"43"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-02-03",,,"1.24",,,"54","43","45"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-02-04",,,"0.00",,,"64","43","44"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-02-05",,,"0.65",,,"63","41","43"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-02-06",,,"3.80",,,"51","43","44"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-02-10","    4","3.53",,,,,,"36"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-02-11",,,"0.00",,,"53","34","35"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-02-12",,,"0.00",,,"59","35","36"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-02-13",,,"0.00",,,"59","36","38"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-02-18",,,"0.00",,,"72","35","37"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-02-20",,,"0.00",,,"71","30","30"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-03-02",,,"0.00",,,,,"34"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-03-03",,,"0.00",,,"65","23","30"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-03-04",,,"0.00",,,"67","27","28"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-03-05",,,"0.00",,,"72","27","28"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-03-06",,,"0.00",,,"74","28","36"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-03-09",,,"0.00",,,,,"34"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-03-12",,,"0.61",,,"72","37","45"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-03-13",,,"0.00",,,"75","41","43"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-03-16",,,"1.41",,,,,"42"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-03-18",,,"0.00",,,"69","33","34"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-03-20",,,"0.00",,,"79","34","38"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-03-23",,,"1.60",,,,,"37"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-03-24",,,"1.08",,,"55","37","39"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-03-27",,,"0.00",,,"84","36","47"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-03-30",,,"0.00",,,,,"37"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-03-31",,,"0.00",,,"81","37","46"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-04-01",,,"0.03",,,"64","27","28"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-04-02",,,"0.00",,,"66","27","28"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-04-07",,,"0.88",,,"65","28","33"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-04-08",,,"0.13",,,"54","33","35"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-04-09",,,"0.00",,,"64","32","33"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-04-10",,,"0.00",,,"72","31","32"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-04-13",,,"0.00",,,,,"34"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-04-14",,,"0.16",,,"69","31","32"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","2015-04-15",,,"0.00",,,"62","27","28"
