"STATION","DATE","PRCP","TMAX","TMIN","TOBS"
"USC00046508","2015-01-01","0.00","44","26","42"
"USC00046508","2015-01-02","0.00","45","27","43"
"USC00046508","2015-01-03","0.00","46","31","44"
"USC00046508","2015-01-04","0.00","52","34","49"
"USC00046508","2015-01-05","0.00","50","37","49"
"USC00046508","2015-01-06","0.00","53","37","52"
"USC00046508","2015-01-07","0.00","53","39","50"
"USC00046508","2015-01-08","0.00","50","40","48"
"USC00046508","2015-01-09","0.00","50","40","49"
"USC00046508","2015-01-10","0.00","52","42","51"
"USC00046508","2015-01-11","0.02","51","44","48"
"USC00046508","2015-01-12","0.01","53","45","52"
"USC00046508","2015-01-13","0.00","60","40","41"
"USC00046508","2015-01-14","0.00","50","36","48"
"USC00046508","2015-01-15",,"49","39","47"
"USC00046508","2015-01-16","1.32","56","46","53"
"USC00046508","2015-01-17","0.36","54","50","53"
"USC00046508","2015-01-18","0.83",,,
"USC00046508","2015-01-19","0.00","54",,"47"
"USC00046508","2015-01-20","0.00","52","40","47"
"USC00046508","2015-01-21","0.00","52","37","48"
"USC00046508","2015-01-22","0.00","56","39","53"
"USC00046508","2015-01-23","0.00","57","38","55"
"USC00046508","2015-01-24","0.00","57","39","54"
"USC00046508","2015-01-25","0.00","60","40","57"
"USC00046508","2015-01-26","0.00","57","44","51"
"USC00046508","2015-01-27","0.00","53","44","51"
"USC00046508","2015-01-28","0.00","53","44","44"
"USC00046508","2015-01-29","0.00","58","42","55"
"USC00046508","2015-01-30","0.00","58","42","55"
"USC00046508","2015-01-31","0.00","57","37","54"
"USC00046508","2015-02-01","0.00","57","39","55"
"USC00046508","2015-02-02",,"56","49","56"
"USC00046508","2015-02-03","2.24","60","52","57"
"USC00046508","2015-02-05","0.92","59","46","52"
"USC00046508","2015-02-06","2.16","56","50","55"
"USC00046508","2015-02-07",,"59","51","55"
"USC00046508","2015-02-08",,"55","49","55"
"USC00046508","2015-02-09","0.77","55","49","50"
"USC00046508","2015-02-10","0.00",,,"52"
"USC00046508","2015-02-11","0.00","57","42","55"
"USC00046508","2015-02-12","0.00","57","45","55"
"USC00046508","2015-02-13","0.00","57","46","56"
"USC00046508","2015-02-14","0.00","62","46","59"
"USC00046508","2015-02-15","0.00","64","40","56"
"USC00046508","2015-02-16","0.00","64","38","59"
"USC00046508","2015-02-17","0.00","64","39","60"
"USC00046508","2015-02-18","0.00","63","46","61"
"USC00046508","2015-02-19","0.00","64","46","61"
"USC00046508","2015-02-20","0.00","66",,"62"
"USC00046508","2015-02-21","0.00","69","36","50"
"USC00046508","2015-02-22","0.00","65","37","57"
"USC00046508","2015-02-23","0.00","66","30","59"
"USC00046508","2015-02-24","0.00","61","29","58"
